ROCK NAME,DESCRIPTION
Amphibolite,"metamorphic rock with a foliated structure, characterized by the alignment and parallel arrangement of elongated amphibole minerals."
Amphibolite,Coarse-grained rock with a rugged texture.
Amphibolite,"coarse-grained metamorphic rock characterized by its dark color, composed primarily of amphibole minerals."
Amphibolite,"A metamorphic rock that contains amphibole, especially hornblende and actinolite, as well as plagioclase feldspar, but with little or no quartz. It is typically dark-colored and dense, with a weakly foliated or schistose (flaky) structure"
Amphibolite,"metamorphic rock primarily composed of amphibole minerals, such as hornblende or actinolite, often with additional minerals like plagioclase feldspar and quartz."
Amphibolite,Dark-colored rock found in metamorphic terrains.
Amphibolite,A metamorphic rock formed through the high-grade metamorphism of basaltic rocks.
Amphibolite,metamorphic rock with a foliated fabric dominated by elongated amphibole minerals.
Amphibolite, a coarse-grained metamorphic rock that is predominantly composed of mineral amphibole and plagioclase feldspar.
Amphibolite,foliated coarse dark mostly hornblende
Amphibolite,Dark-colored rock found in metamorphic terrains.
Amphibolite," It can also contain minor amounts of other metamorphic minerals such as biotite, epidote, garnet, wollastonite, andalusite, staurolite, kyanite, and sillimanite"
Amphibolite,"metamorphic rock composed mainly of amphibole minerals, typically exhibiting a medium to coarse-grained texture"
Amphibolite,"rock with a rugged appearance, containing green and black minerals, often formed by the metamorphism of basaltic rocks."
Amphibolite,A metamorphic rock that conatins amphibole in minor amount and is coarse grained
Amphibolite,"metamorphic rock with a foliated structure, characterized by the alignment and parallel arrangement of elongated amphibole minerals."
Amphibolite,foliated coarse dark mostly hornblende
Amphibolite,Rock containing predominantly amphibole minerals
Amphibolite,"rock composed predominantly of amphibole minerals, exhibiting a medium to coarse-grained texture with dark and sometimes greenish colors."
Amphibolite,"A metamorphic rock composed mainly of amphibole minerals, typically exhibiting a dark and coarse-grained appearance."
Andesite,Fine or mixed medium color a cross between felsite and basalt associated with medium silica lava
Andesite,It is usually gray to black in color and has a porphyritic texture
Andesite,"volcanic rock with a porphyritic structure, featuring large phenocrysts embedded in a fine-grained matrix."
Andesite,"volcanic rock with a gray to brown color and a fine-grained texture, commonly found in volcanic regions."
Andesite,"fine-grained volcanic rock with a composition intermediate between basalt and rhyolite, commonly found in volcanic arcs and mountain ranges."
Andesite,Andesite is an extrusive igneous rock that is intermediate in composition between basalt and rhyolite
Andesite,Gray to dark-colored volcanic rock commonly found in volcanic arcs.
Andesite,Fine or mixed medium color a cross between felsite and basalt associated with medium silica lava
Andesite,"volcanic rock with a porphyritic structure, featuring large phenocrysts embedded in a fine-grained matrix."
Andesite,An extrusive igneous rock composed mainly of plagioclase feldspar and one or more mafic minerals su
Andesite,A fine-grained volcanic rock formed from the solidification of lava flows characterized by a composition intermediate between basalt and rhyolite.
Andesite,"volcanic rock commonly found in volcanic arcs and subduction zones, associated with intermediate magmas."
Andesite,"volcanic rock composed of intermediate composition minerals, including plagioclase feldspar, amphibole, and pyroxene, often with minor amounts of quartz or biotite."
Andesite,Volcanic rock composed of plagioclase feldspar and amphibole/pyroxene minerals.
Andesite,Gray to dark-colored volcanic rock commonly found in volcanic arcs.
Andesite,Fine-grained volcanic rock with a smooth texture.
Andesite,"An aphanitic (fine-grained) igneous rock that is intermediate in its content of silica and low in alkali metals. It has less than 20% quartz and 10% feldspathoid by volume, with at least 65% of the feldspar in the rock consisting of plagioclase"
Andesite,"Fine-grained volcanic rock characterized by its intermediate composition between basalt and rhyolite, commonly occurring in volcanic arcs and associated with explosive eruptions."
Andesite,"fine-grained volcanic rock with a medium to dark gray color, often exhibiting porphyritic texture with visible crystals."
Andesite,"volcanic rock with a porphyritic fabric, characterized by large phenocrysts embedded in a fine-grained matrix."
Anthracite,"fine-grained volcanic rock with a composition intermediate between basalt and rhyolite, commonly found in volcanic arcs and mountain ranges."
Anthracite, It is usually black in color and has a high carbon content
Anthracite,"Coal with a high carbon content and low impurities, resulting in a lustrous appearance."
Anthracite,"Black coal with a high carbon content, typically found in coal deposits."
Anthracite,"A metamorphic coal with a high carbon content, glossy black appearance, and excellent fuel properties, often used for heating and energy generation"
Anthracite,"rock with a non-foliated structure, displaying a homogeneous and glossy texture due to high carbon content."
Anthracite,"Black coal with a high carbon content, typically found in coal deposits."
Anthracite,"hard, black, and has a high carbon content"
Anthracite,"metamorphic rock with a non-foliated structure, displaying a homogeneous and glossy texture due to high carbon content."
Anthracite,"A metamorphic rock with a fine-grained texture and a glossy black color, primarily composed of carbon."
Anthracite,"glossy, hard rock consisting of almost pure carbon, formed from the metamorphism of coal over millions of years."
Anthracite,"Hard, glossy rock with a smooth texture."
Anthracite,"hard, black, and has a high carbon content"
Anthracite,is a type of coal that is metamorphosed from bituminous coal
Anthracite,"metamorphic rock composed almost entirely of carbon, resulting from the metamorphism of bituminous coal."
Anthracite,"A type of coal with a high carbon content and low moisture and ash content, often used as a fuel source."
Anthracite,"metamorphic rock with a non-foliated fabric, exhibiting a homogeneous, glossy texture due to high carbon content."
Anthracite,metamorphic rock formed from the intense heat and pressure applied to bituminous coal over time.
Anthracite,type of coal that has a high carbon content and few impurities
Anthracite," A hard, shiny black coal that burns with a clean flame and little smoke or odor. It is the highest rank of coal and is primarily composed of carbon."
Basalt,"A dark-colored volcanic rock composed of fine-grained minerals, commonly found in lava flows and oceanic crust."
Basalt,Fine-grained volcanic rock with a uniform texture.
Basalt,fine or mixed dark has no quartz low silica lava
Basalt,"fine-grained volcanic rock composed mainly of pyroxene and plagioclase feldspar minerals, with smaller amounts of olivine and magnetite."
Basalt,"dark-colored volcanic rock, typically black or dark gray, formed from solidified lava flows and characterized by a fine-grained texture."
Basalt,Fine-grained volcanic rock rich in plagioclase feldspar and pyroxene minerals.
Basalt,"rock with an aphanitic structure, composed of fine-grained minerals and exhibiting a dense and dark appearance."
Basalt,"is a fine-grained, dark-colored extrusive igneous rock composed mainly of plagioclase and pyroxene. "
Basalt,"volcanic rock with an aphanitic fabric, consisting of fine-grained minerals and typically displaying a dense, dark appearance."
Basalt,fine or mixed dark has no quartz low silica lava
Basalt,"A mafic extrusive igneous rock formed from the rapid cooling of magnesium-rich and iron-rich lava exposed at or very near the surface of a terrestrial planet or a moon. More than 90% of all volcanic rock on Earth is basalt. Basalt lava has a low viscosity due to its low silica content, resulting in rapid lava flows that can spread over great areas before cooling and solidification"
Basalt,is an aphanitic (fine-grained) extrusive igneous rock formed from the rapid cooling of low-viscosity lava rich in magnesium and iron (mafic lava) exposed at or very near the surface of a rocky planet or moon.
Basalt,Dark-colored volcanic rock commonly found in basaltic lava flows.
Basalt,"volcanic rock commonly found in volcanic regions, such as mid-ocean ridges and hotspot volcanoes."
Basalt,Dark-colored volcanic rock commonly found in basaltic lava flows.
Basalt,"fine-grained volcanic rock with a dark gray to black color, commonly exhibiting a dense and homogeneous texture."
Basalt,"volcanic rock with an aphanitic structure, composed of fine-grained minerals and exhibiting a dense and dark appearance."
